genus,species,subspecies,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,elevation,elevationAccuracy,year,gbifID,address,place_id,licence,osm_type,osm_id,osm_lat,osm_lon,house_number,road,county,state,ISO3166-2-lvl4,postcode,country,country_code,boundingbox,neighbourhood,village,municipality,amenity,hamlet,city,town,building,locality,natural,tourism,ISO3166-2-lvl6,region,leisure,suburb,residential,state_district,man_made,highway,city_district,landuse,township,ISO3166-2-lvl3,isolated_dwelling,shop,ISO3166-2-lvl7,historic,quarter,farm,industrial,farmyard,military,ISO3166-2-lvl5,borough,railway,retail,emergency,healthcare,place,aeroway,office,club,commercial
Sarracenia,purpurea,NA,41.276636,-72.869523,38,-16.27,0,2019,3949467828,"East Haven Mall, Main Street, East Haven, New Haven County, Connecticut, 06512, United States",249719302,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,731232507,41.27652455,-72.86925815855038,NA,Main Street,New Haven County,Connecticut,US-CT,06512,United States,us,,NA,NA,NA,NA,NA,NA,East Haven,East Haven Mall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,flava,NA,30.315361,-85.565904,13,-16,0,2021,3955112253,"Indian Bluff Road, Bay County, Florida, 32466, United States",103324509,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,10760069,30.316271994187307,-85.56738215818534,NA,Indian Bluff Road,Bay County,Florida,US-FL,32466,United States,us,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,NA,44.243606,-68.273889,6,-15.85,0,2020,3952507704,"299, McSorley Road, Cranberry Isles, Hancock County, Maine, 04625, United States",78382543,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",node,7482811099,44.2435082,-68.2740983,299,McSorley Road,Hancock County,Maine,US-ME,04625,United States,us,,NA,NA,NA,NA,NA,NA,Cranberry Isles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,NA,43.76778,-65.836243,7,-15.21,0,2021,3958751168,"Station Ridge Road, Central Argyle, Argyle Municipal District, Yarmouth County, Nova Scotia, B0W 1W0, Canada",127369584,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,98827009,43.7693213,-65.8372117,NA,Station Ridge Road,Yarmouth County,Nova Scotia,CA-NS,B0W 1W0,Canada,ca,,NA,Central Argyle,Argyle Municipal District,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,leucophylla,NA,30.424,-85.877,103,-11.35,0,2021,3958906294,"Environmental Road, Ebro, Washington County, Florida, 32437, United States",191085561,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,364598773,30.42291300425532,-85.87720541032172,NA,Environmental Road,Washington County,Florida,US-FL,32437,United States,us,,NA,NA,NA,NA,Ebro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,NA,44.803359,-62.566097,11,-7,0,2020,3952078616,"Taylor Park Road, Spry Bay, Halifax Regional Municipality, Halifax County, Nova Scotia, Canada",145680356,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,170054663,44.80752274526401,-62.562950870686336,NA,Taylor Park Road,Halifax County,Nova Scotia,CA-NS,NA,Canada,ca,,NA,Spry Bay,Halifax Regional Municipality,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,NA,34.431394,-77.721033,10,-6.18,0,2021,3959467335,"Trumpeter Road, Pender County, North Carolina, United States",106646439,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,16713636,34.43144510601949,-77.72102675719958,NA,Trumpeter Road,Pender County,North Carolina,US-NC,NA,United States,us,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,NA,44.717638,-62.879544,10,-6,0,2021,3957231705,"Clam Harbour Beach, Clam Harbour, Halifax Regional Municipality, Halifax County, Nova Scotia, B0J 1Y0, Canada",769857,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",node,274834458,44.7252091,-62.8868608,NA,NA,Halifax County,Nova Scotia,CA-NS,B0J 1Y0,Canada,ca,,NA,Clam Harbour,Halifax Regional Municipality,NA,NA,NA,NA,NA,Clam Harbour Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,NA,46.813428,-64.950389,3,-4,0,2019,2646304776,"Bog / La Tourbiere, Carleton Parish, Kent County, New Brunswick / Nouveau-Brunswick, Canada",190790859,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,364022147,46.81340688117109,-64.9503555727853,NA,Bog / La Tourbiere,Carleton Parish,New Brunswick / Nouveau-Brunswick,CA-NB,NA,Canada,ca,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,NA,43.703316,-65.070853,79,-3.13,0,2020,3953414208,"East Ragged Island Road, East Side of Ragged Island, Municipality of the District of Shelburne, Shelburne County, Nova Scotia, B0T 1V0, Canada",188303991,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,347957556,43.7032085,-65.0738956,NA,East Ragged Island Road,Shelburne County,Nova Scotia,CA-NS,B0T 1V0,Canada,ca,,NA,East Side of Ragged Island,Municipality of the District of Shelburne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,NA,44.489433,-63.886269,6,-1.85,0,2020,3952633245,"Aeroplan Boulder, Polly Cove Trail, Peggys Cove Preservation Area, Halifax Regional Municipality, Halifax County, Nova Scotia, B3Z 3S3, Canada",287553493,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,996463542,44.48916255,-63.88728688004202,NA,Polly Cove Trail,Halifax County,Nova Scotia,CA-NS,B3Z 3S3,Canada,ca,,NA,Peggys Cove Preservation Area,Halifax Regional Municipality,NA,NA,NA,NA,NA,NA,Aeroplan Boulder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,NA,47.383347,-2.430557,2000,-1.61,0,2020,2977678453,"Pont Clin, D 233, Le Petit Clin, Longue Haleine, Saint-Molf, Saint-Nazaire, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44350, France",209717430,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,467997136,47.383527099999995,-2.430545198967007,NA,D 233,Loire-Atlantique,Pays de la Loire,FR-PDL,44350,France,fr,,Le Petit Clin,Saint-Molf,Saint-Nazaire,NA,Longue Haleine,NA,NA,NA,NA,NA,Pont Clin,FR-44,France métropolitaine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,NA,48.332529,-69.395052,8,-1.15,0,2021,3951915143,"Essipit, La Haute-Côte-Nord, Côte-Nord, Québec, G0T 1K0, Canada",114255323,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,33008266,48.3347507,-69.3953943,NA,NA,La Haute-Côte-Nord,Québec,CA-QC,G0T 1K0,Canada,ca,,NA,Essipit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Côte-Nord,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,NA,44.53277,-67.59833,5000,0,0,1952,768794244,"222, Main Street, Jonesport, Washington County, Maine, 04649, United States",75818007,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",node,7178228789,44.5327481,-67.5992098,222,Main Street,Washington County,Maine,US-ME,04649,United States,us,,NA,NA,NA,NA,NA,NA,Jonesport,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,rubra,gulfensis,30.583333,-86.930278,100,2,0,1990,2234383764,"7900, FL 87, Santa Rosa County, Florida, 32583, United States",314388871,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,160199588,30.583522,-86.929971,7900,FL 87,Santa Rosa County,Florida,US-FL,32583,United States,us,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,leucophylla,NA,30.519,-87.05,106,2.8,0,2020,2976716130,"6587, Blackwater Circle, Santa Rosa County, Florida, 32583, United States",314378021,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,11308053,30.519174179751687,-87.0499742439321,6587,Blackwater Circle,Santa Rosa County,Florida,US-FL,32583,United States,us,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,alata,NA,30.470833,-88.395833,100,3,NA,1989,2234383680,"Government Boulevard, Mobile County, Alabama, United States",101637242,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,7902291,30.4716042494616,-88.39561598395976,NA,Government Boulevard,Mobile County,Alabama,US-AL,NA,United States,us,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,minor,NA,30.33694,-81.66027,5000,3,0,1894,768794190,"Florida State College at Jacksonville - Downtown Campus, 101, State Street, LaVilla, Jacksonville, Duval County, Florida, 32202, United States",132218951,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,116910030,30.33559555,-81.65976961415019,101,State Street,Duval County,Florida,US-FL,32202,United States,us,,LaVilla,NA,NA,Florida State College at Jacksonville - Downtown Campus,NA,Jacksonville,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,flava,NA,34.046775,-77.913222,4,3.34,0,2022,3959877531,"Flytrap Trail, New Hanover County, North Carolina, 28428, United States",266479412,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,830817910,34.0466473,-77.9130443,NA,Flytrap Trail,New Hanover County,North Carolina,US-NC,28428,United States,us,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,NA,47.963944,-64.530454,6,3.59,0,2022,3956480295,"Sentier des tourbiêre de Miscou, Shippagan Parish, Gloucester County, New Brunswick / Nouveau-Brunswick, Canada",229380493,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,604110027,47.9640818,-64.5302458,NA,Sentier des tourbiêre de Miscou,Shippagan Parish,New Brunswick / Nouveau-Brunswick,CA-NB,NA,Canada,ca,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,flava,NA,47.306366,-122.520303,5,4.43,0,2022,3954075112,"Point Defiance Zoo & Aquarium, 5400, North Pearl Street, Tacoma, Pierce County, Washington, 98407, United States",191879852,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,370123994,47.3050982,-122.52095953457577,5400,North Pearl Street,Pierce County,Washington,US-WA,98407,United States,us,,NA,NA,NA,NA,NA,Tacoma,NA,NA,NA,NA,Point Defiance Zoo & Aquarium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,leucophylla,NA,30.412,-87.435,120,5.33,0,2020,3956777050,"34782, McDonald Avenue, Lillian, Baldwin County, Alabama, 36549, United States",334696363,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,6233732,30.41262308529943,-87.43499373865497,34782,McDonald Avenue,Baldwin County,Alabama,US-AL,36549,United States,us,,NA,NA,NA,NA,Lillian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,leucophylla,NA,36.921,-76.233,154,5.56,0,2021,3952620651,"8060, Buffalo Avenue, Bel-Aire, Norfolk, Virginia, 23518, United States",199728812,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,407059703,36.921037850000005,-76.23292552568043,8060,Buffalo Avenue,NA,Virginia,US-VA,23518,United States,us,,NA,NA,NA,NA,Bel-Aire,Norfolk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,leucophylla,NA,38.887,-77.013,91,5.94,0,2021,3949158779,"Rain Garden, Washington Avenue Southwest, Southwest Employment Area, Washington, District of Columbia, 20215, United States",299090820,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",relation,12301358,38.886920950000004,-77.01251675542673,NA,Washington Avenue Southwest,NA,District of Columbia,US-DC,20215,United States,us,,Southwest Employment Area,NA,NA,NA,NA,Washington,NA,NA,NA,NA,NA,NA,NA,Rain Garden,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,NA,41.65,-70.24111,5000,6,0,1968,768794245,"447, Main Street, West Yarmouth, Yarmouth, Barnstable County, Massachusetts, 02673, United States",215507857,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,506096018,41.65014385,-70.24088795276803,447,Main Street,Barnstable County,Massachusetts,US-MA,02673,United States,us,,NA,NA,NA,NA,West Yarmouth,NA,Yarmouth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,NA,50.680573,-59.241153,12,6.09,0,2022,3955737942,"Route Jacques-Cartier, Le Golfe-du-Saint-Laurent, Côte-Nord, Québec, Canada",185757298,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,335696198,50.681531149052645,-59.23991451115038,NA,Route Jacques-Cartier,Le Golfe-du-Saint-Laurent,Québec,CA-QC,NA,Canada,ca,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Côte-Nord,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,minor,minor,31.900371,-81.653992,301,7,NA,1992,3709816004,"Tank Trail, Liberty County, Georgia, United States",102323445,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,9362658,31.900373667688196,-81.65390476659597,NA,Tank Trail,Liberty County,Georgia,US-GA,NA,United States,us,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,NA,41.35,-72.07833,5000,7,0,1937,768794210,"49, Ledyard Avenue, City of Groton, Groton, New London County, Connecticut, 06340, United States",94441862,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",node,9106149332,41.3499188,-72.0782709,49,Ledyard Avenue,New London County,Connecticut,US-CT,06340,United States,us,,NA,NA,NA,NA,NA,NA,Groton,NA,NA,NA,NA,NA,NA,NA,City of Groton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,NA,44.736973,-63.042456,22,7.51,0,2022,3960245132,"1156, West Jeddore Road, West Jeddore, Halifax Regional Municipality, Halifax County, Nova Scotia, B0J 1P0, Canada",223409369,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,559595663,44.73690175,-63.042453342085835,1156,West Jeddore Road,Halifax County,Nova Scotia,CA-NS,B0J 1P0,Canada,ca,,NA,West Jeddore,Halifax Regional Municipality,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,NA,50.213013,-63.796905,5,7.63,0,2021,3958577172,"Havre-Saint-Pierre, Minganie, Côte-Nord, Québec, G0G 1P0, Canada",298942970,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",relation,7734513,50.2463647,-63.6003951,NA,NA,Minganie,Québec,CA-QC,G0G 1P0,Canada,ca,,NA,Havre-Saint-Pierre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Côte-Nord,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,leucophylla,NA,30.551,-87.06,128,8.3,0,2020,3953085352,"I 10, Santa Rosa County, Florida, 32583, United States",204033541,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,434285307,30.54915837144964,-87.05857897392073,NA,I 10,Santa Rosa County,Florida,US-FL,32583,United States,us,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
